key_row,regiontype,regionname,statename,home_value,home_value_rounded,home_value_change_mm,home_value_change_yy,2016_median_home_value,2017_median_home_value,2018_median_home_value,2019_median_home_value,2020_median_home_value,2021_median_home_value,2022_median_home_value,2023_median_home_value,2024_median_home_value,2025_median_home_value,date,forecastyoypctchange,top_tier,bottom_tier,sale_price,listing_price,current_days_to_pending,dtp_month,days_to_pending,inventory,clean_regionname,zestimate_accuracy,zillow_on_market_median_error,zillow_on_market_properties,zillow_on_market_within_5,zillow_on_market_within_10,zillow_on_market_within_20,zillow_off_market_median_error,zillow_off_market_properties,zillow_off_market_within_5,zillow_off_market_within_10,zillow_off_market_within_20,home_value_one_bed,home_value_two_bed,home_value_three_bed,home_value_four_bed,home_value_five_bed
hailey_id,metro,"Hailey, ID",ID,904700.14,905000.00,0.27,3.86,412876.57,436260.48,471230.20,485830.61,533497.78,715525.57,883759.12,845509.95,882786.60,903474.90,"February 28, 2025",3.20,2318454.77,501619.96,,1203833.00,31.00,February 25,40.00,181.00,hailey,"March 2, 2025",1.40,15900.00,89.82,97.11,99.20,5.68,826100.00,45.26,70.74,89.18,487760.69,707291.06,948288.98,1898097.25,3433135.64
great_bend_ks,metro,"Great Bend, KS",KS,107364.90,107000.00,-0.55,6.50,75429.65,72882.32,72805.76,72813.19,74005.31,81316.59,90886.76,94142.22,105183.28,107661.70,"February 28, 2025",0.40,209505.49,48920.23,,159967.00,,February 25,,81.00,great bend,"March 2, 2025",2.17,10600.00,80.51,94.88,98.92,7.47,1000000.00,36.37,60.81,82.11,33214.97,67731.32,132898.03,183086.53,217275.85
spearfish_sd,metro,"Spearfish, SD",SD,423422.12,423000.00,0.37,2.09,236546.99,246732.10,256187.64,266489.64,281761.12,336509.52,402847.01,404705.93,419780.80,422642.71,"February 28, 2025",2.50,703842.79,266028.52,,666000.00,74.00,February 25,74.00,139.00,spearfish,"March 2, 2025",1.74,4800.00,85.11,95.59,98.96,7.53,310400.00,36.68,60.20,82.00,152143.39,316192.77,424857.42,535611.47,695135.55
mineral_wells_tx,metro,"Mineral Wells, TX",TX,249589.57,250000.00,0.42,1.24,134019.80,137991.72,146107.05,157900.52,172638.78,215029.61,257490.32,253280.69,247790.43,249064.23,"February 28, 2025",0.90,658425.24,127843.08,,468000.00,,February 25,,270.00,mineral wells,"March 2, 2025",1.90,231800.00,84.41,95.11,98.57,6.37,10000000.00,41.50,66.60,86.27,147400.38,215119.48,275667.94,532072.60,1318674.59
boone_ia,metro,"Boone, IA",IA,216890.72,217000.00,0.51,5.11,136264.75,140861.44,146885.10,154420.29,160280.88,177677.50,198285.77,203503.76,211640.09,216344.91,,,377274.31,119677.72,,,,February 25,,,boone,"March 2, 2025",1.85,14200.00,83.34,95.17,98.74,7.82,1300000.00,35.37,58.90,80.66,107088.39,149263.62,223327.12,308967.68,422428.73
lincoln_il,metro,"Lincoln, IL",IL,125726.28,126000.00,0.53,3.52,102256.27,98458.88,100194.26,105024.16,111270.01,112792.64,114472.09,119028.57,121526.98,125395.33,"February 28, 2025",-2.60,222353.80,72031.79,,134483.00,17.00,February 25,14.00,64.00,lincoln,"March 2, 2025",2.21,45300.00,80.30,94.85,98.74,8.18,4300000.00,33.85,57.38,79.92,183547.01,214983.59,138912.91,406295.76,534738.60
mount_pleasant_tx,metro,"Mount Pleasant, TX",TX,215651.86,216000.00,0.59,-0.98,121630.78,128027.06,137303.33,146541.78,154490.00,185109.28,214768.25,217512.72,218450.52,215017.27,"February 28, 2025",1.90,371769.93,134592.89,,329667.00,78.00,February 25,77.00,236.00,mount pleasant,"March 2, 2025",1.90,231800.00,84.41,95.11,98.57,6.37,10000000.00,41.50,66.60,86.27,147400.38,160672.04,250625.74,355781.87,622446.91
la_grande_or,metro,"La Grande, OR",OR,310084.56,310000.00,0.48,4.72,168721.66,177552.67,188264.66,196546.19,208791.19,250261.20,286675.61,293473.38,299663.24,309351.23,"February 28, 2025",2.00,496035.30,209832.10,,272000.00,,February 25,,88.00,la grande,"March 2, 2025",1.59,23000.00,88.32,97.03,99.13,6.28,1600000.00,42.04,67.12,86.51,213744.04,228752.19,320134.47,392807.44,447920.15
new_ulm_mn,metro,"New Ulm, MN",MN,209800.46,210000.00,1.14,7.49,129071.14,133277.00,141617.48,148974.92,152620.82,170016.64,189638.78,190770.82,200637.72,208620.31,"February 28, 2025",1.20,339245.56,127881.08,,218667.00,,February 25,,37.00,new ulm,"March 2, 2025",1.92,23400.00,84.54,96.22,99.10,6.53,2100000.00,40.46,65.56,85.85,119414.17,174323.54,204732.22,250942.72,329747.91
fort_morgan_co,metro,"Fort Morgan, CO",CO,334357.50,334000.00,0.04,3.57,165984.30,187156.60,209639.96,232923.40,250505.88,289367.27,331755.57,322051.12,331132.05,334295.21,"February 28, 2025",-0.30,496345.63,237101.77,,351583.00,,February 25,,155.00,fort morgan,"March 2, 2025",1.34,41500.00,91.27,97.73,99.38,5.30,2200000.00,47.86,72.71,89.84,182974.96,245918.84,329390.28,373470.01,443487.72
brookings_or,metro,"Brookings, OR",OR,456134.09,456000.00,-0.39,1.44,261748.74,285560.70,300590.39,321434.82,340058.87,407955.80,456604.40,454289.90,456365.55,457021.40,"February 28, 2025",-0.50,692910.41,316238.78,,572167.00,,February 25,,165.00,brookings,"March 2, 2025",1.59,23000.00,88.32,97.03,99.13,6.28,1600000.00,42.04,67.12,86.51,402739.86,422659.75,495812.71,625464.73,746680.95
greensburg_in,metro,"Greensburg, IN",IN,230369.69,230000.00,0.47,5.96,127917.03,134274.55,138845.15,147538.42,160920.60,185349.83,208209.70,212669.85,223994.63,229828.41,"February 28, 2025",1.60,391890.01,155109.96,,245883.00,,February 25,,59.00,greensburg,"March 2, 2025",1.92,26500.00,83.04,94.78,98.68,7.42,2500000.00,36.61,60.67,81.40,118576.92,161221.37,234900.51,313669.18,381677.01
